Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",description
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/14/2018,WDF44781313024180,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/14/2018,WDF44781313024180,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/18/2018,WDF44781313024459,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/19/2018,WDF44781313024459,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/20/2018,WDF44781313024180,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,12/20/2018,WDF44781313024180,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,01-07-2019,WDF44781313024459,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,01-08-2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,01-08-2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,01-08-2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,01-08-2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,01-08-2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/15/2019,WDF44781313024180,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/15/2019,WDF44781313024180,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/15/2019,WDF44781313024180,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/15/2019,WDF44781313024180,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/15/2019,WDF44781313024180,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/15/2019,WDF44781313024180,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,Test Driver,Street,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,Test Driver,Street,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/17/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/19/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions wet in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/20/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDD2221591A383190,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/21/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/22/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Reference sensor was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,1/23/2019,WDF44781313024459,no,yes,AV System,Street,Reference sensor was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
